                  name                  
----------------------------------------
 "1,2,4-Trichlorobenzene", C6H3Cl3
 "1,2-Dichloroethane", C2H4Cl2
 "1,2-Dimethoxyethane", C4H10O2
 "1,4-Dioxane", C4H8O2
 "1-Butanol", C4H10O
 "1-Methyl-2-Pyrrolidone", C5H9NO
 "1-Octanol", C8H18O
 "1-Propanol (n)", C3H8O
 "1-Propanol (n) Dry", C3H8O
 "100-120 Pet Spirit", C6H14
 "2 Butanone (Methyl Ethyl Ketone)", C4H8O
 "2-Butanol", C4H10O
 "2-Methoxyethanol", C4H10O2
 "2-Methyl-1-Propanol (Isobutanol)", C4H10O
 "2-Methylbutane (Isopentane)", C5H12
 "2-Propanol", C3H8O
 "30-40 Pet Spirit", C6H14
 "30-60 Pet Spirit", C6H14
 "4-Methyl-2-pentanone (MIBK)", C6H11O
 "40-60 Pet Spirit", C6H14
 "60-80 Pet Spirit", C6H14
 "80-100 Pet Spirit", C6H14
 "90-100 Pet Spirit", C6H14
 "Acetone", C3H6O
 "Acetonitrile", C2H3N
 "Acetonitrile Grade S", C2H3N
 "Carbon Disulphide", C4H6S2
 "Chlorobenzene", C6H5Cl
 "Chloroform", CHCl3
 "Chloroform (amylene stabilised 100ppm)", CHCl3
 "Cyclohexane", C6H12
 "Cyclopentane 75%", C5H10
 "Cyclopentane 99%", C5H10
 "DCM (Alcohol Free)", C2H4Cl2
 "DCM (Amylene Free)", C2H4Cl2
 "DCM (Amylene Stabilised)", C2H4Cl2
 "Decane", C10H22
 "Dichloromethane", C2H4Cl2
 "Diethyl Ether", C4H10O
 "Diisopropyl Ether", C6H14O
 "Diisopropylethylamine", C5H13N
 "Dimethylsulphoxide", C2H6OS
 "Ethanol ( + 95% / 96%)", C2H6O
 "Ethyl Acetate", C4H8O2
 "Ethyl Benzene", C6H6
 "Ethylene Glycol", C2H6O2
 "Ethylene Glycol, dry", C2H6O2
 "Formic Acid", HCOOH
 "Glacial Acetic Acid", C2H4O2
 "Hexane (isomer mix)", C6H14
 "Industrial Denatured Alcohol (IDA)", C2H6O
 "Iso-Octane (2-2-4-Trimethylpentane)", C8H18
 "MTBE Anhydrous", C5H12O
 "Methanol", CH4O
 "Methanol (Anhydrous)", CH4O
 "Methanol (Low Ethanol)", CH4O
 "Methyl Acetate", C3H6O2
 "Methyl Formate", CH2O2
 "Methyl tert-Butyl Ether", C6H14O
 "Methylcyclohexane", C8H14
 "Mobile Phase 2.3", C6H14
 "Mobile Phase 4.3", C6H14
 "Nonane", C9H20
 "Pentane 95%", C5H12
 "Pentane 99%", C5H12
 "Pentane Low Benzene", C5H12
 "Pentane Low Haloforms", C5H12
 "Piperidine", C5H11N
 "Pyridine", C5H5N
 "Tetrachloroethylene", C2Cl4
 "Tetrahydrofuran", C4H8O
 "Tetrahydrofuran 100ppm BHT", C4H8O
 "Tetrahydrofuran 250 ppm BHT", C4H8O
 "Toluene", C7H8
 "Water", H2O
 "White Spirit", C6H14
 "Xylene (isomer Mixture)", C8H10
 "isoHexane", C6H14
 "n,n-Dimethylacetamide", C4H8O2N2
 "n,n-Dimethylformamide", C4H8O2N2
 "n-Butyl Acetate", C6H12O2
 "n-Butyl Chloride", C4H9Cl
 "n-Butyl Chloride (Chlorobutane)", C4H9Cl
 "n-Heptane 95%", C7H16
 "n-Heptane 99%", C7H16
 "n-Hexane 95%", C6H14
 "n-Hexane 97%", C6H14
 "n-Hexane 99%", C6H14
 "o-Xylene (*+%)", C8H10
 "tert-Butanol (2-Methyl-2-Propanol)", C4H10O
