"tx_id","tx_type","tx_date","material","drum_id","repro_id","tx_notes","created_at","updated_at","process_id","delivery_id","batch_code","order_id","direction"
1,"import","2018-10-12","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:04:56.238988+00","2024-12-01 18:04:56.238988+00",NULL,1,NULL,NULL,"IN"
2,"import","2018-10-12","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
3,"import","2018-08-01","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
4,"import","2020-08-05","Acetic Acid",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
5,"import","2020-08-05","Hexane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
6,"import","2020-08-05","Acetone",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
7,"import","2020-08-05","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
8,"import","2020-08-05","Toluene",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
9,"import","2020-08-05","DMF",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
10,"import","2020-08-11","CS2",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
11,"import","2020-08-12","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
12,"import","2020-09-01","Methanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
13,"import","2020-09-01","Ethanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
14,"import","2020-09-24","CycloHexane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
15,"import","2020-09-24","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
16,"import","2020-09-24","Acetone",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
17,"import","2020-09-24","DCM",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
18,"import","2020-10-07","Pyridine",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
19,"import","2020-10-09","Methanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
20,"import","2020-10-12","DMF",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
21,"import","2020-10-12","DCM",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
22,"import","2020-10-12","Chloroform",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
23,"import","2020-10-12","Xylene",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
24,"import","2020-11-02","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
25,"import","2020-11-02","Acetone",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
26,"import","2020-11-20","Ethanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
27,"import","2020-11-20","Methanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
28,"import","2020-11-20","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
29,"import","2020-11-20","MEK",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
30,"import","2020-11-20","Toluene",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
31,"import","2020-11-26","Methanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
32,"import","2020-11-26","1-2 DCE",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
33,"import","2020-11-30","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
34,"import","2020-12-09","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
35,"import","2020-01-05","DCM",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
36,"import","2020-01-05","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
